idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
10187,-115.02201,36.02061,0.46771,0.74316,0.42855,0.24833,0.44484,0.40533,0.44348,0.3088,0.20878,0.26531,0.39323,0.95224,0.37451,0.36614
10703,-115.2522,36.05239,0.85933,0.91264,0.77769,0.26619,0.59061,0.49491,0.08684,0.56193,0.75163,0.70238,0.56084,0.852,0.53902,0.53686
11131,-115.27845,36.07432,0.96595,0.0,0.0,0.51574,0.90644,0.62737,0.6661,0.77983,0.23501,0.59057,1.0,0.0,0.58359,0.58408
11453,-115.02066,36.08548,0.91932,0.7897,0.8637,0.66213,0.0,0.64449,0.66147,0.65663,0.69107,0.19681,0.44497,0.98821,0.50835,0.52142
13050,-115.25026,36.16051,0.2864,0.0,0.65117,0.66863,0.81786,0.73635,0.81061,0.46322,0.72674,0.45178,0.48068,0.86352,0.58016,0.56656
13260,-115.20568,36.16718,0.23305,0.94207,0.0,0.42502,0.97027,0.55979,0.97442,0.87348,0.06819,0.74805,1.0,0.0,0.69621,0.70768
13886,-115.13414,36.18792,0.20362,0.96656,0.99873,1.0,0.0,0.99638,0.32351,0.56093,0.99904,0.90177,0.12744,0.95005,0.60571,0.62341
13896,-115.04523,36.18675,0.21222,0.0,0.62279,0.53587,0.8723,0.72888,0.87003,0.77725,0.75748,0.93364,0.65484,0.97629,0.62476,0.60633
14519,-115.03589,36.20825,0.47636,0.0,0.6857,0.2747,0.88064,0.74944,0.9088,0.78516,0.55438,0.95267,0.65619,0.64357,0.58917,0.57242
14720,-115.11579,36.21652,0.1129,0.94695,0.7091,0.69282,0.0,0.65047,0.98201,0.97629,0.74883,0.66034,0.15599,0.69055,0.581,0.60573
14936,-115.06227,36.22302,0.60371,0.85217,0.49439,0.9284,0.67981,0.89208,0.68295,0.6554,0.96682,0.8675,0.20083,0.91823,0.63004,0.6187
16398,-115.08795,36.27383,0.25558,0.83445,0.41231,0.20912,0.0,0.0441,0.70618,0.53002,0.63921,0.73482,0.61214,0.99009,0.49436,0.506
32323,-114.10006,36.8045,0.15005,0.0,0.0,0.59821,0.80847,0.7439,0.75198,0.72888,0.67972,0.7745,1.0,0.0,0.59465,0.59358
