idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
217,-114.62768,35.12777,0.99149,0.90391,0.30849,0.80196,0.89649,0.99738,0.28265,0.29635,0.86745,0.32805,0.03388,0.98991,0.52153,0.50907
244,-114.6275,35.13498,0.15927,0.74172,0.5718,0.7422,0.9594,0.96053,0.55211,0.09426,0.41742,0.2193,0.03336,0.99572,0.49702,0.47878
272,-114.62732,35.14218,0.49373,0.7904,0.19747,0.77931,0.0,0.9621,0.10723,0.07383,0.60869,0.04685,0.06588,0.99686,0.37374,0.39324
301,-114.62714,35.14939,0.49373,0.7904,0.19747,0.77931,0.0,0.9621,0.10723,0.07383,0.60869,0.04685,0.06588,0.99686,0.37374,0.39324
338,-114.5743,35.1557,0.99149,0.99594,0.18795,0.80196,0.89649,0.99738,0.28265,0.29635,0.86745,0.32805,0.0344,0.27802,0.48337,0.47733
370,-114.57412,35.16291,0.99149,0.99594,0.18795,0.80196,0.89649,0.99738,0.28265,0.29635,0.86745,0.32805,0.0344,0.27802,0.48337,0.47733
404,-114.57393,35.17011,0.99149,0.89085,0.0,0.80196,0.89649,0.99738,0.28265,0.29635,0.86745,0.32805,1.0,0.0,0.62842,0.63894
1073,-114.88726,35.2977,0.62799,0.0,0.18594,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,0.46278,0.22807,0.38252,0.3982
1074,-114.87847,35.29757,0.62799,0.0,0.18594,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,0.46278,0.22807,0.38252,0.3982
2407,-114.91886,35.46399,0.62799,0.0,0.0,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,1.0,0.0,0.47501,0.50723
2408,-114.91005,35.46387,0.62799,0.89766,0.19149,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,0.79157,0.68234,0.48614,0.50918
2473,-114.90989,35.47107,0.62799,0.83445,0.18782,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,0.79157,0.29325,0.46164,0.48651
3766,-115.38369,35.60683,0.62799,0.91635,0.18389,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,0.01855,0.18594,0.30383,0.32376
3852,-115.38358,35.61404,0.62799,0.87859,0.0,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,1.0,0.0,0.5409,0.5863
6047,-115.31899,35.77917,0.62799,0.89862,0.0,0.94626,0.0,0.82689,0.16512,0.60227,0.51273,0.06562,1.0,0.0,0.5424,0.58811
6335,-115.61066,35.80372,0.04571,0.87597,0.19459,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,0.79952,0.53491,0.41083,0.43795
6336,-115.60181,35.80364,0.04571,0.0,0.0,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,1.0,0.0,0.36252,0.38545
6440,-115.64597,35.81124,0.04571,0.0,0.18974,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,0.79952,0.21367,0.32867,0.34494
6442,-115.62827,35.81108,0.04571,0.0,0.19267,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,0.79952,0.24824,0.33064,0.34667
6443,-115.61942,35.81101,0.04571,0.79035,0.18481,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,0.79952,0.42925,0.39831,0.4249
6770,-115.65455,35.83294,0.04571,0.0,0.21253,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,0.79952,0.20878,0.33032,0.34663
6907,-115.44196,35.83817,0.04571,0.0,0.0,0.23694,0.0,0.06007,0.20799,0.38262,0.38498,0.08976,1.0,0.0,0.36252,0.38545
8525,-115.1303,35.92832,0.27173,0.0,0.0,0.06422,0.0,0.16193,0.1463,0.24606,0.05584,0.14093,1.0,0.0,0.3343,0.36036
8526,-115.12144,35.92821,0.27173,0.82388,0.3831,0.06422,0.0,0.16193,0.1463,0.24606,0.05584,0.14093,0.16193,0.97267,0.24975,0.26398
8527,-115.11258,35.92809,0.54669,0.63925,0.19088,0.06623,0.0,0.1587,0.14128,0.24405,0.03755,0.15329,0.15852,0.45938,0.1931,0.20822
8528,-115.10372,35.92798,0.54669,0.0,0.65601,0.06623,0.0,0.1587,0.14128,0.24405,0.03755,0.15329,0.1384,0.89723,0.21201,0.21528
8529,-115.09485,35.92786,0.96734,0.8609,0.56734,0.04519,0.0,0.01174,0.02135,0.26051,0.0282,0.02484,0.08478,0.99345,0.21949,0.23023
8530,-115.08599,35.92774,0.96734,0.86418,0.32613,0.04519,0.0,0.01174,0.02135,0.26051,0.0282,0.02484,0.13739,0.99096,0.22989,0.24544
8645,-115.19221,35.93631,0.80341,0.84763,0.18446,0.33477,0.0,0.32242,0.35608,0.44292,0.20463,0.23759,0.00201,0.20341,0.326,0.36503
