name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
Arroyo Market Square,7200 ARROYO CROSSING PKWY LAS VEGAS NV 89113,True,Locality wide location,False,-115.24968,36.06386,
Blue Diamond Crossing,4112 BLUE DIAMOND RD LAS VEGAS NV 89139,True,Locality wide location,False,-115.19471,36.03904,
Boulder City Hall,401 CALIFORNIA AVE BOULDER CITY NV 89005,True,Locality wide location,False,-114.8337,35.97875,
Boulevard Mall,3528 S MARYLAND PKWY LAS VEGAS NV 89109,True,Locality wide location,False,-115.13518,36.12419,
CSN Henderson Campus Student Union,700 COLLEGE DR HENDERSON NV 89002,True,Locality wide location,False,-114.96545,36.00792,
CSN N Las Vegas Campus Tyrone Thompson Student Union,3200 E CHEYENNE AVE NORTH LAS VEGAS NV 89030,True,Locality wide location,False,-115.10382,36.22071,
CSN West Charleston Campus Student Union,6375 W CHARLESTON BLVD LAS VEGAS NV 89146,True,Locality wide location,False,-115.23225,36.15589,
Centennial Center Home Depot,7881 W TROPICAL PKWY LAS VEGAS NV 89149,True,Locality wide location,False,-115.26653,36.2694,
Cora Coleman Senior Center,2100 BONNIE LN LAS VEGAS NV 89156,True,Locality wide location,False,-115.04539,36.19791,
Deer Springs Town Center,855 E DORRELL LN NORTH LAS VEGAS NV 89086,True,Locality wide location,False,-115.13129,36.2861,
Desert Breeze Community Center,8275 SPRING MOUNTAIN RD LAS VEGAS NV 89147,True,Locality wide location,False,-115.27619,36.12792,
Desert Vista Community Center,10360 SUN CITY BLVD LAS VEGAS NV 89134,True,Locality wide location,False,-115.32337,36.21175,
Doolittle Senior Center,1930 J ST LAS VEGAS NV 89106,True,Locality wide location,False,-115.15557,36.19501,
Downtown Summerlin Las Vegas Ballpark,1650 S PAVILION CENTER DR LAS VEGAS NV 89135,True,Locality wide location,False,-115.33086,36.15299,
"Dr. William U. Pearson Community Center, Room C",1625 W CAREY AVE NORTH LAS VEGAS NV 89032,True,Locality wide location,False,-115.16288,36.20141,
East Las Vegas Community Center,250 N EASTERN AVE LAS VEGAS NV 89101,True,Locality wide location,False,-115.11475,36.16602,
Galleria at Sunset,1300 W SUNSET RD HENDERSON NV 89014,True,Locality wide location,False,-115.04182,36.06698,
Heritage Park Senior Facility,300 S RACETRACK RD HENDERSON NV 89015,True,Locality wide location,False,-114.95159,36.03304,
Hollywood Recreation Center,1650 S HOLLYWOOD BLVD LAS VEGAS NV 89142,True,Locality wide location,False,-115.02579,36.15267,
Las Vegas Athletic Club - North,6050 N DECATUR BLVD LAS VEGAS NV 89031,True,Locality wide location,False,-115.20513,36.27026,
Las Vegas Athletic Club - Northwest,1725 N RAINBOW BLVD LAS VEGAS NV 89108,True,Locality wide location,False,-115.24329,36.1918,
Las Vegas Strip Site at Pebble,8755 S LAS VEGAS BLVD LAS VEGAS NV 89123,True,Locality wide location,False,-115.17618,36.03052,
Laughlin Library,2840 S NEEDLES HWY LAUGHLIN NV 89029,True,Locality wide location,False,-114.62476,35.14552,
Lowe's - Craig / Losee,2570 E CRAIG RD NORTH LAS VEGAS NV 89030,True,Locality wide location,False,-115.11573,36.24255,
McCarran Marketplace,6081 S EASTERN AVE LAS VEGAS NV 89119,True,Locality wide location,False,-115.11948,36.07974,
Meadows Mall,4300 MEADOWS LN LAS VEGAS NV 89107,True,Locality wide location,False,-115.19691,36.17239,
Mesquite Deuce 2 Building,150 N YUCCA ST MESQUITE NV 89027,True,Locality wide location,False,-114.06748,36.80693,
Moapa Valley Community Center,320 N MOAPA VALLEY BLVD OVERTON NV 89040,True,Locality wide location,False,-114.44504,36.54594,
Mountain Crest Community Center,4701 N DURANGO DR LAS VEGAS NV 89129,True,Locality wide location,False,-115.28154,36.24657,
Mountain Shadows Community Center,9107 DEL WEBB BLVD LAS VEGAS NV 89134,True,Locality wide location,False,-115.29381,36.21082,
Mountain's Edge Regional Park,7929 W MOUNTAIN'S EDGE PKWY LAS VEGAS NV 89178,True,Locality wide location,False,-115.26477,36.00483,
Neighborhood Recreation Center,1638 N BRUCE ST NORTH LAS VEGAS NV 89030,True,Locality wide location,False,-115.12439,36.19027,
Nellis Crossing Shopping Center,1200 S NELLIS BLVD LAS VEGAS NV 89104,True,Locality wide location,False,-115.0605,36.15819,
"Nevada State College, Rogers Student Center",1300 NEVADA STATE DR HENDERSON NV 89002,True,Locality wide location,False,-114.93843,35.98235,
Paradise Community Center,4775 S MCLEOD DR LAS VEGAS NV 89121,True,Locality wide location,False,-115.11179,36.10351,
Parkdale Recreation and Senior Center,3200 FERNDALE ST LAS VEGAS NV 89121,True,Locality wide location,False,-115.07738,36.13194,
Searchlight Community Center,200 MICHAEL WENDELL WAY SEARCHLIGHT NV 89046,True,Locality wide location,False,-114.90677,35.46818,
Silver Mesa Recreation Center,4025 ALLEN LN NORTH LAS VEGAS NV 89032,True,Locality wide location,False,-115.19017,36.23276,
Silver Springs Recreation Center,1951 E SILVER SPRINGS PKWY HENDERSON NV 89074,True,Locality wide location,False,-115.07485,36.04552,
Silverado Ranch Plaza,9869 S EASTERN AVE LAS VEGAS NV 89183,True,Locality wide location,False,-115.12119,36.01002,
Sun City Anthem Center,2450 HAMPTON RD HENDERSON NV 89052,True,Locality wide location,False,-115.09581,35.95621,
Sun City MacDonald Ranch Community Center,2020 W. HORIZON RIDGE PKWY HENDERSON NV 89012,True,Locality wide location,False,-115.07649,36.00639,
Sun City Mesquite,1350 FLAT TOP MESA DR MESQUITE NV 89034,True,Locality wide location,False,-114.1117,36.83391,
UNLV Lied Library,987 E HARMON AVE LAS VEGAS NV 89119,True,Locality wide location,False,-115.14613,36.10784,
Veterans Memorial Leisure Center,101 N PAVILION CENTER DR LAS VEGAS NV 89144,True,Locality wide location,False,-115.33372,36.17458,
Walnut Recreation Center,3075 N WALNUT RD LAS VEGAS NV 89115,True,Locality wide location,False,-115.09025,36.21526,
West Flamingo Senior Center,6255 W FLAMINGO RD LAS VEGAS NV 89103,True,Locality wide location,False,-115.22772,36.11416,
Whitney Community/Recreation Center,5712 MISSOURI AVE LAS VEGAS NV 89122,True,Locality wide location,False,-115.04764,36.09578,
