lat,lon
36.19399,-115.14734
36.19213,-115.14749
36.19489,-115.14751
36.1843,-115.147
36.18461,-115.14716
36.18831,-115.14715
36.18824,-115.14729
36.19048,-115.14727
36.18259,-115.14692
36.17789,-115.15174
36.19224,-115.15174
36.19183,-115.15193
36.19539,-115.15202
36.17889,-115.15202
36.18519,-115.15198
36.18547,-115.15179
36.18772,-115.15184
36.18796,-115.15206
36.18103,-115.15175
36.18038,-115.15194
36.16925,-115.14199
36.16443,-115.1452
36.16688,-115.14356
35.96831,-114.84373
35.96861,-114.83664
35.96892,-114.8308
35.96913,-114.82686
36.1666,-115.25647
36.1666,-115.25174
36.16597,-115.20934
36.16633,-115.18269
36.16622,-115.18362
36.16651,-115.2705
36.16662,-115.20676
36.16609,-115.21607
36.16665,-115.15454
36.16665,-115.15654
36.16648,-115.2291
36.16611,-115.20913
36.1663,-115.22314
36.16647,-115.22459
36.16634,-115.23667
36.16615,-115.16014
36.16636,-115.24341
36.16657,-115.24512
36.16608,-115.17185
36.16622,-115.17428
36.16651,-115.27388
36.16664,-115.26201
36.1663,-115.22669
36.16633,-115.23245
36.16652,-115.2337
36.16594,-115.21699
36.16615,-115.19145
36.16654,-115.23996
36.16635,-115.24018
36.16661,-115.26508
36.26128,-115.22624
36.26186,-115.23087
35.97832,-114.83457
36.17736,-115.14763
36.17717,-115.1485
36.17708,-115.15224
36.17724,-115.15302
36.17705,-115.15616
36.17722,-115.15556
36.17386,-115.11822
36.17396,-115.13312
36.17446,-115.13586
36.17404,-115.06688
36.17387,-115.12436
36.17414,-115.12562
36.17708,-115.16657
36.17423,-115.05222
36.17726,-115.17324
36.1738,-115.11524
36.17413,-115.11671
36.17338,-115.09232
36.17359,-115.09296
36.17405,-115.13532
36.17339,-115.07952
36.17361,-115.08121
36.17386,-115.06483
36.17437,-115.0493
36.17702,-115.1595
36.1772,-115.16214
36.1774,-115.14335
36.17368,-115.07067
36.17395,-115.13008
36.17412,-115.13105
36.17392,-115.1127
36.1745,-115.04433
36.17353,-115.10514
36.17382,-115.10645
36.17411,-115.06406
36.17353,-115.07526
36.17338,-115.09713
36.17367,-115.09918
36.1739,-115.07049
36.17708,-115.17388
36.17363,-115.09586
36.17336,-115.08864
36.17365,-115.11106
36.17708,-115.16937
36.17723,-115.17058
