provider,lat,lon,num_stops_per_week,score
Tahoe Transportation District,38.90882,-119.74206,4.0,1.0
Tahoe Transportation District,38.90342,-119.74207,4.0,1.0
Tahoe Transportation District,38.89462,-119.74427,4.0,1.0
Tahoe Transportation District,38.9764,-119.88835,14.0,1.0
Tahoe Transportation District,38.97279,-119.88725,14.0,1.0
Tahoe Transportation District,38.97016,-119.88666,14.0,1.0
Tahoe Transportation District,38.96821,-119.88616,14.0,1.0
Tahoe Transportation District,38.96702,-119.88453,14.0,1.0
Tahoe Transportation District,38.96496,-119.88517,14.0,1.0
Tahoe Transportation District,38.96317,-119.88464,20.0,2.0
Tahoe Transportation District,38.96089,-119.88934,14.0,1.0
Tahoe Transportation District,38.96157,-119.88768,14.0,1.0
Tahoe Transportation District,38.9644,-119.88641,14.0,1.0
Tahoe Transportation District,38.96641,-119.88695,14.0,1.0
Tahoe Transportation District,38.97034,-119.8872,14.0,1.0
Tahoe Transportation District,38.97278,-119.88733,14.0,1.0
Tahoe Transportation District,38.9762,-119.88862,14.0,1.0
Tahoe Transportation District,38.9685,-119.93324,12.0,1.0
Tahoe Transportation District,38.96852,-119.93094,12.0,1.0
Tahoe Transportation District,38.92865,-119.83982,6.0,1.0
Tahoe Transportation District,38.92846,-119.83962,5.0,1.0
Tahoe Transportation District,38.96833,-119.93148,11.0,1.0
Tahoe Transportation District,38.94179,-119.75006,5.0,1.0
Tahoe Transportation District,38.95551,-119.76732,5.0,1.0
Tahoe Transportation District,38.96297,-119.77934,5.0,1.0
Tahoe Transportation District,39.11058,-119.77672,9.0,1.0
Tahoe Transportation District,38.96295,-119.77899,4.0,1.0
Tahoe Transportation District,38.95541,-119.76664,4.0,1.0
Tahoe Transportation District,38.94065,-119.74824,4.0,1.0
Tahoe Transportation District,38.93356,-119.73997,20.0,2.0
Tahoe Transportation District,38.96935,-119.93479,46.0,3.0
Tahoe Transportation District,38.96244,-119.93957,24.0,2.0
Tahoe Transportation District,38.96966,-119.93544,34.0,2.0
Tahoe Transportation District,38.96257,-119.94003,25.0,2.0
Tahoe Transportation District,38.96043,-119.94127,25.0,2.0
