osm_id,code,fclass,name,lon,lat
357555172,2082,school,Schurz Elementary School,-118.81237,38.95214
357555307,2082,school,Mina Elementary School,-118.1129,38.39187
357565104,2013,nursing_home,Lefa Seran Skilled Nursing Facility,-118.62783,38.51694
357565253,2082,school,Hawthorne Primary School,-118.63066,38.53063
357566441,2082,school,Sky View Academy,-118.6435,38.536
8846532398,2501,supermarket,Safeway,-118.63071,38.53527
357562742,2005,post_office,Schurz Post Office,-118.81006,38.95005
357562854,2005,post_office,Hawthorne Post Office,-118.62736,38.51631
357563652,2005,post_office,Mina Post Office,-118.10873,38.39048
357563828,2005,post_office,Luning Post Office,-118.17869,38.50516
357564298,2005,post_office,Babbitt Branch Post Office,-118.64152,38.53992
366087768,2009,courthouse,Mineral County Courthouse - Sheriff,-118.6293,38.51742
6593994129,2007,library,,-118.62802,38.51771
