geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
32510000100,510.0,0.0437,1.0,0.90689,0.0,0.21205,0.0,0.11792,0.0,0.06568,1.0,0.00942,1.0,0.00218,1.0,0.14274,0.0,0.01667,1.0,0.82809,0.0,0.02673,1.0,0.0,1.0,0.0,1.0,0.0903,0.0,8e-05,1.0,0.00695,1.0,0.0,1.0,0.0002,1.0,0.00891,1.0,0.0001,1.0,0.0,1.0,0.0,1.0,0.06339,0.0,1.0,0.2265,0.06209,3262.0,2.50273,1303.37886,0.08689,0.03356,0.30022,0.14352,0.79557,0.68246,0.57924,0.69733,0.55888,0.47171,0.72242,0.41914,0.75752,0.61835,0.74716,0.54234
32510000200,510.0,0.04872,1.0,0.94434,0.0,0.18235,0.0,0.06883,0.0,0.05584,1.0,0.05595,1.0,0.00029,1.0,0.13833,0.0,0.00012,1.0,0.78296,0.0,0.02341,1.0,0.0,1.0,0.0,1.0,0.10522,0.0,0.0,1.0,0.0062,1.0,0.00168,1.0,0.01118,1.0,0.0037,1.0,0.00251,1.0,0.0,1.0,0.03185,1.0,0.07299,0.0,1.0,0.04944,0.0825,4066.0,2.61661,1553.91841,0.09661,0.03216,0.06576,0.14398,0.81698,0.73719,0.80117,0.74315,0.54413,0.43098,0.64031,0.44137,0.78864,0.62854,0.73905,0.55964
32510000300,510.0,0.01927,1.0,0.93905,0.0,0.11859,0.0,0.08127,0.0,0.04009,1.0,0.02024,1.0,0.00972,1.0,0.05107,0.0,0.07196,0.0,0.81788,0.0,8e-05,1.0,0.0,1.0,0.0,1.0,0.04304,1.0,0.00262,1.0,0.00107,1.0,0.0,1.0,0.00656,1.0,0.00344,1.0,0.00341,1.0,0.0,1.0,0.0,1.0,0.08025,0.0,1.0,0.13738,0.09033,3831.0,116.8175,32.79474,0.09836,0.10573,0.03433,0.16838,0.86756,0.81975,0.79516,0.77826,0.56991,0.58978,0.38137,0.59297,0.83133,0.65472,0.91407,0.71499
32510000400,510.0,0.06761,1.0,0.96088,0.0,0.21077,0.0,0.10673,0.0,0.09671,1.0,0.03977,1.0,0.01946,1.0,0.18541,0.0,0.03662,1.0,0.69929,0.0,0.02089,1.0,0.00229,1.0,0.0,1.0,0.15394,0.0,0.0,1.0,0.0,1.0,0.0206,1.0,0.0,1.0,0.00715,1.0,0.002,1.0,0.0,1.0,0.01001,1.0,0.06603,0.0,1.0,0.12124,0.07311,3966.0,39.69404,99.91424,0.08546,0.03093,0.07597,0.08499,0.79604,0.73851,0.82484,0.67857,0.55519,0.45971,0.68168,0.44399,0.76789,0.61821,0.77404,0.57966
32510000501,510.0,0.12722,0.0,0.94634,0.0,0.25312,0.0,0.0842,0.0,0.10661,1.0,0.00544,1.0,0.0,1.0,0.30947,0.0,0.01768,0.0,0.66026,0.0,0.01394,1.0,0.0,1.0,0.0,1.0,0.25965,0.0,0.00493,1.0,0.0,1.0,0.00187,1.0,0.0,1.0,0.0,1.0,0.00357,1.0,0.0,1.0,0.0,1.0,0.1036,0.07341,0.0,0.07498,0.09666,6162.0,3.16931,1944.27132,0.08816,0.03487,0.08338,0.02585,0.7564,0.74112,0.80399,0.58497,0.53345,0.47,0.56727,0.4297,0.71098,0.63273,0.69086,0.52829
32510000502,510.0,0.05854,1.0,0.81706,0.0,0.21534,0.0,0.11833,0.0,0.10764,1.0,0.00021,1.0,0.01655,1.0,0.20058,0.0,0.01902,1.0,0.74755,0.0,0.01382,1.0,0.0,1.0,0.0,1.0,0.1476,0.0,0.00086,1.0,0.00965,1.0,0.0,1.0,0.0,1.0,0.00021,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07064,0.1837,0.0,0.06037,0.05716,3584.0,1.61516,2218.98069,0.07697,0.03579,0.05478,0.04558,0.75207,0.74522,0.65586,0.63006,0.52973,0.4767,0.62436,0.41042,0.70889,0.61943,0.70093,0.5283
32510000601,510.0,0.046,1.0,0.9373,0.0,0.25804,0.0,0.18912,0.0,0.11427,1.0,0.00825,1.0,0.01696,1.0,0.27544,0.0,0.01528,1.0,0.6297,0.0,0.00749,1.0,0.0,1.0,0.0,1.0,0.25878,0.0,0.00825,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01085,1.0,0.00199,1.0,0.0,1.0,0.0,1.0,0.05793,0.32992,1.0,0.08852,0.05156,3780.0,3.59187,1052.37785,,,,,,,,,0.57827,0.52548,0.50414,0.43257,0.69719,0.60817,0.49794,0.47403
32510000602,510.0,0.04683,1.0,0.93746,0.0,0.25745,0.0,0.18891,0.0,0.11429,1.0,0.00826,1.0,0.01685,1.0,0.27718,0.0,0.01529,1.0,0.6282,0.0,0.00808,1.0,0.0,1.0,0.0,1.0,0.25994,0.0,0.00821,1.0,2e-05,1.0,0.0,1.0,0.0,1.0,0.01084,1.0,0.00197,1.0,0.0,1.0,0.0,1.0,0.04267,0.02959,0.0,0.02121,0.04103,2759.0,3.32328,830.20372,,,,,,,,,0.51858,0.49863,1.0,0.40264,0.68233,0.56752,0.45354,0.51513
32510000701,510.0,0.08251,1.0,0.97236,0.0,0.09937,0.0,0.13768,0.0,0.05376,1.0,0.08228,0.0,0.0942,1.0,0.20266,0.0,0.00655,1.0,0.59654,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19285,0.0,0.0021,1.0,0.00444,1.0,0.0,1.0,0.00351,1.0,0.05563,1.0,0.00561,1.0,0.0,1.0,0.00842,1.0,0.0729,0.1211,0.0,0.03182,0.06698,4083.0,2.05885,1983.14482,0.08763,0.0365,0.0,0.09835,0.79338,0.74631,0.87323,0.65311,0.53452,0.51012,0.45528,0.39631,0.75721,0.61815,0.65921,0.57337
32510000702,510.0,0.07356,1.0,0.96712,0.0,0.19401,0.0,0.04737,0.0,0.03715,1.0,0.00659,1.0,0.0018,1.0,0.16777,0.0,0.01228,1.0,0.76992,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15279,0.0,0.0,1.0,0.00779,1.0,0.0,1.0,0.0033,1.0,0.0033,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06202,0.0,1.0,0.00685,0.06529,3440.0,1.56171,2202.70995,0.09078,0.0246,0.0,0.06434,0.83362,0.79658,0.78869,0.63662,0.55319,0.50863,0.62826,0.46839,0.79124,0.64746,0.7713,0.60509
